freq,int_doh,int_d2o,cluster
6754.99166667,0.00003213,0.00000000,0
6757.92500000,0.00002114,0.00000000,0
6758.03333333,0.00003029,0.00000000,0
6760.00000000,0.00246109,0.00206030,5
6760.86666667,0.00000000,0.00001978,1
6761.73333333,0.00000000,0.00002187,1
6762.67500000,0.00000000,0.00001492,1
6764.12500000,0.00000000,0.00001907,1
6765.00000000,0.00005459,0.00007572,6
6767.25000000,0.00000000,0.00001182,1
6767.28333333,0.00000000,0.00001380,1
6768.30833333,0.00024269,0.00005101,4
6770.00000000,0.00029152,0.00026456,5
6770.40000000,0.00000000,0.00002786,1
6770.52500000,0.00002661,0.00001323,2
6771.60833333,0.00012568,0.00002267,4
6774.87500000,0.00002000,0.00000000,0
6775.00000000,0.00004607,0.00020865,9
6777.18333333,0.00002708,0.00000000,0
6777.34166667,0.00002052,0.00002603,6
6780.00000000,0.00218182,0.00176124,5
6780.34166667,0.00000000,0.00002125,1
6783.05833333,0.00004422,0.00000000,0
6783.21666667,0.00003945,0.00003426,5
6783.25833333,0.00004851,0.00004063,5
6785.00000000,0.00004350,0.00002144,2
6786.17500000,0.00008984,0.00000000,0
6787.10833333,0.00017737,0.00013914,5
6790.00000000,0.00022526,0.00014732,3
6790.23333333,0.00002929,0.00000000,0
6791.08333333,0.00002997,0.00000000,0
6791.26666667,0.00004418,0.00000000,0
6792.07500000,0.00000000,0.00001705,1
6793.34166667,0.00000000,0.00001176,1
6793.48333333,0.00003337,0.00000000,0
6793.95833333,0.00000000,0.00001295,1
6794.59166667,0.00008627,0.00000000,0
6795.00833333,0.00000000,0.00001392,1
6796.87500000,0.00007087,0.00006345,5
6797.65000000,0.00000000,0.00007694,1
6798.08333333,0.00007084,0.00003330,2
6799.85000000,0.00000000,0.00001756,1
6800.00000000,0.00150063,0.00092944,3
6804.63333333,0.00005036,0.00000000,0
6805.00000000,0.00008579,0.00000000,0
6809.33333333,0.00000000,0.00002349,1
6809.75000000,0.00006418,0.00004473,3
