freq,int_h2o,int_d2o,cluster
7572.69166667,0.00004672,0.00002781,7
7572.77500000,0.00012948,0.00002042,3
7572.83333333,0.00005342,0.00001401,0
7572.88333333,0.00011639,0.00001716,3
7573.08333333,0.02741920,0.00516550,12
7573.27500000,0.00035453,0.00004779,3
7573.67500000,0.00005633,0.00001350,0
7574.53333333,0.00003470,0.00005902,19
7574.72500000,0.00011560,0.00031629,23
7574.89166667,0.01243314,0.00718963,7
7575.05833333,0.00019007,0.00007199,2
7575.35000000,0.00004578,0.00002604,18
7575.52500000,0.00004131,0.00002727,15
7575.53333333,0.00004956,0.00002729,6
7575.57500000,0.00007761,0.00001483,12
7575.97500000,0.00180766,0.00117611,7
7579.26666667,0.00117938,0.00009280,5
7580.00000000,0.00170598,0.00130017,8
7580.47500000,0.00077534,0.00023389,1
7581.25833333,0.00008729,0.00003865,4
7585.00000000,0.00005389,0.00003726,8
7586.56666667,0.00004868,0.00001410,1
7590.00000000,0.00030190,0.00019379,7
7590.47500000,0.00025596,0.00005482,0
7591.60000000,0.00013263,0.00001817,3
7591.68333333,0.00009394,0.00002376,0
7592.26666667,0.00039835,0.00002752,5
